id,created_at,text
846096418829950980,2017-03-26 20:28:00,b'RT @allisonk1130: Saw this and immediately thought of @dog_rates #theyregooddogs https://t.co/HnzQvyUE0Y'
846056794690605064,2017-03-26 17:50:33,b'ICYMI: We have pillows now! \xf0\x9f\x90\xb6\n\nhttps://t.co/CRPCOdUalk https://t.co/qPrj4uHiH1'
846043535384203264,2017-03-26 16:57:52,"b""@ysogrim @lpbskinner that's our logo. It will be on every picture"""
846042936437604353,2017-03-26 16:55:29,b'Meet Jarvis. The snow pupsets him. Officially ready for summer. 12/10 would perform a chilly boop https://t.co/0hLkztpiOW'
846041955570212865,2017-03-26 16:51:35,b'@kmdaugherty may I feature your wonderful dog'
845812042753855489,2017-03-26 01:38:00,"b""We usually don't rate polar bears but this one seems extra good. Majestic as h*ck. 13/10 would hug for a while https://t.co/TLNexlqzXP"""
845802413097439233,2017-03-26 00:59:44,"b""If there's one thing. i want you to really understand. it's that dogs. are so good"""
845742202265505794,2017-03-25 21:00:28,"b""@darth I WILL STRONGLY CONSIDER YOUR SUGGESTION BECAUSE FLOOR BEARS SHOULDN'T BE IGNORED TBH"""
845740435343654913,2017-03-25 20:53:27,b'@darth ok now that you want them I also want them'
845677943972139009,2017-03-25 16:45:08,"b""C'mon guys. Please only send in dogs. We only rate dogs, not Exceptional-Tongued Peruvian Floor Bears. Thank you...\xe2\x80\xa6 https://t.co/R6xQ5n19T3"""
845511982480588800,2017-03-25 05:45:40,"b""@Enchanted1103 @weRateDogsBot no idea I didn't make it lol"""
845509897773043713,2017-03-25 05:37:23,"b""RT @weRateDogsBot: She thinks love is a tad late but here's a bucket of pups."""
845459076796616705,2017-03-25 02:15:26,"b""RT @dog_rates: Here's a heartwarming scene of a single father raising his two pups. Downright awe-inspiring af. 12/10 for everyone https://\xe2\x80\xa6"""
845397057150107648,2017-03-24 22:08:59,"b""Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help\xe2\x80\xa6 https://t.co/V0oYQJp4Ei"""
845394647497224193,2017-03-24 21:59:25,b'@darth truly did me a fright'
845393885971054592,2017-03-24 21:56:23,b'@darth Darth we debated a body pillow but it was terrifying'
845392573573337093,2017-03-24 21:51:10,b'@HalfOnionInABag @autumnsummer82 SHE KNOWS WHAT SIDE SHE IS ON(ION)'
845331103917510656,2017-03-24 17:46:55,b'@MullerCorey thank you for your service :)'
845315566302826497,2017-03-24 16:45:10,"b'WE HAVE PUPPILLOWS NOW BECAUSE WHY NOT\n\n3 Old Designs + 2 New \n\n18"" x 18""  or  20"" x 12""\n\nShop Now\xe2\x86\xb4\xe2\x80\xa6 https://t.co/gjxqZzaE3R'"
845311055899348992,2017-03-24 16:27:15,b'@jamie_genevieve \xe2\x9d\xa4'
845306882940190720,2017-03-24 16:10:40,"b""This is Pickles. She's a silly pupper. Thinks she's a dish. 12/10 would dry https://t.co/7mPCF4ZwEk"""
845104973864206336,2017-03-24 02:48:21,b'@GlennF @darth @nycsouthpaw twitter owes me millions but I will happily be a part of this committee'
845098359547420673,2017-03-24 02:22:04,b'RT @dog_rates: This is Bungalo. She uses that face to get what she wants. It works unbelievably well. 12/10 would never say no to https://t\xe2\x80\xa6'
845069846882717696,2017-03-24 00:28:46,"b""RT @EmilyEssex15: KIDS AT MY MOM'S SCHOOL GO TO THE SHELTER TO READ TO THE DOGS #NationalPuppyDay https://t.co/Y4uMi0r31x"""
845069117535244289,2017-03-24 00:25:52,b'All doggos are puppers today if they want to be #NationalPuppyDay #SayNoToDoggoDiscrimination'
845025336752529409,2017-03-23 21:31:54,b'@UToledo can I transfer to your school'
845025260730757121,2017-03-23 21:31:36,b'@Phillies very well \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc'
845025100411932672,2017-03-23 21:30:58,b'@Indians can confirm very good dogs'
845024931108835331,2017-03-23 21:30:18,b'@Broncos very good indeed'
844984516729094147,2017-03-23 18:49:42,b'@Lin_Manuel @VAMNit LOOK AT THAT TROT LIN OMG HIGH STEPPIN LEGEND'
844979544864018432,2017-03-23 18:29:57,"b""PUPDATE: I'm proud to announce that Toby is 236 days sober. Pupgraded to a 13/10. We're all very proud of you, Toby https://t.co/a5OaJeRl9B"""
844977150096740353,2017-03-23 18:20:26,b'@Bromoish @madd_rich do you have pictures I can pupdate with?'
844974966319841280,2017-03-23 18:11:45,b'@weebeecee Brady is not pupared to comment on that matter at this time'
844973813909606400,2017-03-23 18:07:10,"b""This is Brady. He's a recovering alcoholic. Demonstrating incredible restraint here. 12/10 don't give pup, don't gi\xe2\x80\xa6 https://t.co/7TWoMa3h5W"""
844964211822354434,2017-03-23 17:29:01,"b""@butleru I missed this mention. Email is in the bio if you'd like to collaborate in the future :)"""
844765876138082305,2017-03-23 04:20:54,b'@Derektionary dog is magic'
844725306376245249,2017-03-23 01:39:41,b'@leighanniscool me'
844724355313610752,2017-03-23 01:35:55,b'Would you mind if i\n\n\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4pet your dog  \n\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4\xe3\x85\xa4'
844707099045179394,2017-03-23 00:27:20,"b'I may have rushed to judge the bee. It may have been attempting a boop and slipped. Regardless, we must protect Luna at all costs'"
844706109072007168,2017-03-23 00:23:24,b'@SiobhanBacan only if it was a honey bee and that info was not specified'
