rank,team,year,date,time,localtime,X7,opponent,week,g#,day,result,ot,yards,off_plays,yards_play,def_plays,d_yards_play,turnovers,possession_time,duration
1,BAL,2013,2013-02-03,2013-02-03T11:31:00Z,5:31,N,SFO,21,20,Sun,W 34-31,,367,70,5.2429,60,7.8,1,32.38333333333333,4.233333333333333
2,SFO,2013,2013-02-03,2013-02-03T11:31:00Z,5:31,N,BAL,21,19,Sun,L 31-34,,468,60,7.8,70,5.2429,2,27.616666666666667,4.233333333333333
3,CAR,2004,2004-02-01,2004-02-01T11:25:00Z,5:25,N,NWE,21,20,Sun,L 29-32,,387,53,7.3019,83,5.7952,1,21.033333333333335,4.083333333333333
4,NWE,2004,2004-02-01,2004-02-01T11:25:00Z,5:25,N,CAR,21,19,Sun,W 32-29,,481,83,5.7952,53,7.3019,1,38.96666666666667,4.083333333333333
5,OAK,2003,2003-01-26,2003-01-26T11:26:00Z,3:26,N,TAM,20,19,Sun,L 21-48,,269,60,4.4833,76,4.8026,5,22.766666666666666,3.8333333333333335
6,TAM,2003,2003-01-26,2003-01-26T11:26:00Z,3:26,N,OAK,20,19,Sun,W 48-21,,365,76,4.8026,60,4.4833,1,37.233333333333334,3.8333333333333335
7,ATL,2017,2017-02-05,2017-02-05T11:30:00Z,5:30,N,NWE,21,19,Sun,L 28-34,OT,344,46,7.4783,93,5.871,1,23.45,3.783333333333333
8,NWE,2017,2017-02-05,2017-02-05T11:30:00Z,5:30,N,ATL,21,19,Sun,W 34-28,OT,546,93,5.871,46,7.4783,2,40.516666666666666,3.783333333333333
9,NWE,2018,2018-02-04,2018-02-04T11:30:00Z,,,PHI,21,19,Sun,L 33-41,,613,72,8.5139,71,7.5775,1,25.933333333333334,3.7666666666666666
10,PHI,2018,2018-02-04,2018-02-04T11:30:00Z,,@,NWE,21,19,Sun,W 41-33,,538,71,7.5775,72,8.5139,1,34.06666666666667,3.7666666666666666
11,CAR,2016,2016-02-07,2016-02-07T11:39:00Z,3:39,N,DEN,21,19,Sun,L 10-24,,315,75,4.2,56,3.4643,4,32.78333333333333,3.716666666666667
