regal_name,house,reign_start,reign_end,reign_length,reason_for_end,birthdate,deathdate,age_at_start,age_at_end,age_at_death,sex,claim,issue,full_name
Charles II,Stuart,1660-05-29,1685-02-06,9019,death,1630-05-29,1685-02-06,30.001368925393567,54.69404517453799,54.69404517453799,male,Son of Charles I,0 children,Charles
James II,Stuart,1685-02-06,1688-12-23,1416,deposed,1633-10-14,1701-09-16,51.31553730321698,55.19233401779603,67.92060232717317,male,Son of Charles I,22 children,James
Mary II,Stuart,1689-02-13,1694-12-28,2144,death,1662-04-30,1694-12-28,26.792607802874745,32.662559890485966,32.662559890485966,female,Grandchild of Charles I (offered the crown by Parliament),0 children,William Henry of Orange
William III,Stuart,1689-02-13,1702-03-08,4770,death,1650-11-04,1702-03-08,38.27789185489391,51.337440109514034,51.337440109514034,male,Grandchild of Charles I (offered the crown by Parliament),0 children,Mary
Anne,Stuart,1702-03-08,1714-08-01,4529,death,1665-02-06,1714-08-01,37.07871321013005,49.478439425051334,49.478439425051334,female,Daughter of James II and VII (cognatic primogeniture / Bill of Rights 1689),"17 pregnancies, no surviving children",Anne
George I,Hanover,1714-08-01,1727-06-11,4697,death,1660-05-28,1727-06-11,54.17385352498289,67.03353867214237,67.03353867214237,male,"Great-grandson of James VI and I (Act of Settlement / eldest son of Sophia 
of Hanover)",2 children,George Louis
George II,Hanover,1727-06-11,1760-10-25,12190,death,1683-10-30,1760-10-25,43.611225188227245,76.98562628336755,76.98562628336755,male,Son of George I,8 children,George Augustus
George III,Hanover,1760-10-25,1820-01-29,21644,death,1738-06-04,1820-01-29,22.392881587953458,81.65092402464066,81.65092402464066,male,Grandson of George II,15 children,George William Frederick
George IV,Hanover,1820-01-29,1830-06-26,3801,death,1762-08-12,1830-06-26,57.46201232032854,67.86858316221766,67.86858316221766,male,Son of George III,1 daughter,George Augustus Frederick
William IV,Hanover,1830-06-26,1837-06-20,2551,death,1765-08-21,1837-06-20,64.84325804243669,71.82751540041068,71.82751540041068,male,Son of George III,2 children,William Henry
Victoria,Hanover,1837-06-20,1901-01-22,23226,death,1819-05-24,1901-01-22,18.075290896646134,81.66461327857631,81.66461327857631,female,Granddaughter of George III,9 children,Alexandrina Victoria
Edward VII,Windsor,1901-01-22,1910-05-06,3391,death,1841-11-09,1910-05-06,59.200547570157426,68.48459958932239,68.48459958932239,male,Son of Victoria,6 children,Albert Edward
George V,Windsor,1910-05-06,1936-01-20,9390,death,1865-06-03,1936-01-20,44.91991786447639,70.62833675564681,70.62833675564681,male,Son of Edward VII,6 children,George Frederick Ernest Albert
Edward VIII,Windsor,1936-01-20,1936-12-11,326,abdication,1894-06-23,1972-05-28,41.57426420260096,42.46680355920602,77.927446954141,male,Son of George V,0 children,Edward Albert Christian George Andrew Patrick David
George VI,Windsor,1936-12-11,1952-02-06,5535,death,1895-12-14,1952-02-06,40.99110198494182,56.145106091718,56.145106091718,male,Son of George V,2 children,Albert Frederick Arthur George
Elizabeth II,Windsor,1952-02-06,NA,NA,death,1926-04-21,NA,25.796030116358658,NA,NA,female,Daughter of George VI,4 children,Elizabeth Alexandra Mary
