name,start_of_term,end_of_term,party,faction,known_as,length_of_term,birthdate,deathdate,age_at_start,age_at_end,lifespan_days
Robert Walpole,1721-04-04,1742-02-11,Whig,NA,Robert Walpole,7618,1676-08-26,1745-03-18,44.602327173169066,65.45927446954141,25040
Spencer Compton,1742-02-16,1743-07-02,Whig,NA,Earl of Wilmington,501,1673-03-18,1743-07-02,68.91444216290212,70.2861054072553,25672
Henry Pelham,1743-08-27,1754-03-06,Whig,NA,Henry Pelham,3844,1694-09-25,1754-03-06,48.917180013689254,59.441478439425055,21711
Thomas Pelham-Holles,1754-03-16,1756-11-16,Whig,NA,Duke of Newcastle,976,1693-07-21,1768-11-17,60.648870636550306,63.32101300479124,27512
William Cavendish,1756-11-16,1757-06-25,Whig,NA,Duke of Devonshire,221,1720-05-08,1764-10-02,36.525667351129364,37.13073237508556,16218
Thomas Pelham-Holles,1757-07-02,1762-05-26,Whig,NA,Duke of Newcastle,1789,1693-07-21,1768-11-17,63.945242984257355,68.84325804243669,27512
John Stuart,1762-05-26,1763-04-08,Tory,NA,Earl of Bute,317,1713-05-25,1792-03-10,49.002053388090346,49.869952087611225,28779
George Grenville,1763-04-16,1765-07-13,Whig,Grenvillite,George Grenville,819,1712-10-14,1770-11-13,50.502395619438744,52.74469541409993,21214
Charles Watson-Wentworth,1765-07-13,1766-07-30,Whig,Rockinghamite,Marquess of Rockingham,382,1730-05-13,1782-07-01,35.167693360711844,36.2135523613963,19042
William Pitt the Elder,1766-07-30,1768-10-14,Whig,Chathamite,Earl of Chatham,807,1708-11-15,1778-05-11,57.70294318959617,59.912388774811774,25379
Augustus FitzRoy,1768-10-14,1770-01-28,Whig,Chathamite,Duke of Grafton,471,1735-09-28,1811-03-14,33.045859000684466,34.33538672142368,27560
Frederick North,1770-01-28,1782-03-22,Tory,Northite,Lord North,4436,1732-04-13,1792-08-05,37.79329226557152,49.93839835728953,22029
Charles Watson-Wentworth,1782-03-27,1782-07-01,Whig,Rockinghamite,Marquess of Rockingham,96,1730-05-13,1782-07-01,51.87132101300479,52.134154688569474,19042
William Petty,1782-07-04,1783-04-02,Whig,Chathamite,Earl of Shelburne,272,1737-05-02,1805-05-07,45.17180013689254,45.91649555099247,24841
William Cavendish-Bentinck,1783-04-02,1783-12-19,Whig,NA,Duke of Portland,261,1738-04-14,1809-10-30,44.96646132785763,45.68104038329911,26131
William Pitt the Younger,1783-12-19,1801-03-14,Tory,Pittite,William Pitt,6294,1759-05-28,1806-01-23,24.56125941136208,41.79329226557152,17041
Henry Addington,1801-03-17,1804-05-10,Tory,Pittite,Henry Addington,1150,1757-05-30,1844-02-15,43.794661190965094,46.94318959616701,31671
William Pitt the Younger,1804-05-10,1806-01-23,Tory,Pittite,William Pitt,623,1759-05-28,1806-01-23,44.95003422313484,46.65571526351814,17041
William Grenville,1806-02-11,1807-03-31,Whig,NA,Baron Grenville,413,1759-10-25,1834-01-12,46.29705681040383,47.42778918548939,27107
William Cavendish-Bentinck,1807-03-31,1809-10-04,Tory,Pittite,Duke of Portland,918,1738-04-14,1809-10-30,68.95824777549623,71.4715947980835,26131
Spencer Perceval,1809-10-04,1812-05-11,Tory,Pittite,Spencer Perceval,950,1762-11-01,1812-05-11,46.92128678986995,49.52224503764545,18088
Robert Jenkinson,1812-06-08,1827-04-09,Tory,Pittite,Earl of Liverpool,5418,1770-06-07,1828-12-04,42.001368925393564,56.83504449007529,21364
George Canning,1827-04-10,1827-08-08,Tory,Canningite,George Canning,120,1770-04-11,1827-08-08,56.993839835728956,57.322381930184804,20937
Frederick John Robinson,1827-08-31,1828-01-21,Tory,Canningite,Viscount Goderich,143,1782-11-01,1859-01-28,44.82683093771389,45.21834360027378,27846
Arthur Wellesley,1828-01-22,1830-11-16,Tory,NA,Duke of Wellington,1029,1769-05-01,1852-09-14,58.724161533196444,61.541409993155376,30451
Charles Grey,1830-11-22,1834-07-09,Whig,NA,Earl Grey,1325,1764-03-13,1845-07-17,66.69130732375086,70.3189596167009,29710
William Lamb,1834-07-16,1834-11-14,Whig,NA,Viscount Melbourne,121,1779-03-15,1848-11-24,55.3347022587269,55.66598220396988,25456
Arthur Wellesley,1834-11-14,1834-12-10,Tory,NA,Duke of Wellington,26,1769-05-01,1852-09-14,65.53593429158111,65.60711841204655,30451
Robert Peel,1834-12-10,1835-04-08,Conservative,NA,Robert Peel,119,1788-02-05,1850-07-02,46.841889117043124,47.167693360711844,22792
William Lamb,1835-04-18,1841-08-30,Whig,NA,Viscount Melbourne,2326,1779-03-15,1848-11-24,56.09034907597536,62.458590006844624,25456
Robert Peel,1841-08-30,1846-06-29,Conservative,NA,Robert Peel,1764,1788-02-05,1850-07-02,53.56331279945243,58.392881587953454,22792
John Russell,1846-06-30,1852-02-21,Whig,NA,John Russell,2062,1792-08-18,1878-05-28,53.86173853524983,59.507186858316224,31328
Edward Smith-Stanley,1852-02-23,1852-12-17,Conservative,NA,Earl of Derby,298,1799-03-29,1869-10-23,52.903490759753595,53.719370294318956,25775
George Hamilton-Gordon,1852-12-19,1855-01-30,Peelite,NA,Earl of Aberdeen,772,1784-01-28,1860-12-14,68.88980150581793,71.00342231348391,28079
Henry John Temple,1855-02-06,1858-02-19,Whig,NA,Viscount Palmerston,1109,1784-10-20,1865-10-18,70.2943189596167,73.3305954825462,29582
Edward Smith-Stanley,1858-02-20,1859-06-11,Conservative,NA,Earl of Derby,476,1799-03-29,1869-10-23,58.89664613278576,60.199863107460644,25775
Henry John Temple,1859-06-12,1865-10-18,Liberal,NA,Viscount Palmerston,2320,1784-10-20,1865-10-18,74.63928815879535,80.99110198494182,29582
John Russell,1865-10-29,1866-06-26,Liberal,NA,Earl Russell,240,1792-08-18,1878-05-28,73.19370294318959,73.8507871321013,31328
Edward Smith-Stanley,1866-06-28,1868-02-25,Conservative,NA,Earl of Derby,607,1799-03-29,1869-10-23,67.24709103353867,68.90896646132786,25775
Benjamin Disraeli,1868-02-27,1868-12-01,Conservative,NA,Benjamin Disraeli,278,1804-12-21,1881-04-19,63.18412046543463,63.945242984257355,27878
William Ewart Gladstone,1868-12-03,1874-02-17,Liberal,NA,William Ewart Gladstone,1902,1809-12-29,1898-05-19,58.92950034223135,64.13689253935661,32283
Benjamin Disraeli,1874-02-20,1880-04-21,Conservative,NA,Benjamin Disraeli,2252,1804-12-21,1881-04-19,69.16632443531827,75.33196440793976,27878
William Ewart Gladstone,1880-04-23,1885-06-09,Liberal,NA,William Ewart Gladstone,1873,1809-12-29,1898-05-19,70.31622176591375,75.44421629021218,32283
Robert Gascoyne-Cecil,1885-06-23,1886-01-28,Conservative,NA,Marquess of Salisbury,219,1830-02-03,1903-08-22,55.383983572895275,55.983572895277206,26862
William Ewart Gladstone,1886-02-01,1886-07-20,Liberal,NA,William Ewart Gladstone,169,1809-12-29,1898-05-19,76.0930869267625,76.55578370978782,32283
Robert Gascoyne-Cecil,1886-07-25,1892-08-11,Conservative,NA,Marquess of Salisbury,2209,1830-02-03,1903-08-22,56.47091033538672,62.51882272416153,26862
William Ewart Gladstone,1892-08-15,1894-03-02,Liberal,NA,William Ewart Gladstone,564,1809-12-29,1898-05-19,82.62833675564681,84.17248459958932,32283
Archibald Primrose,1894-03-05,1895-06-22,Liberal,NA,Earl of Rosebery,474,1847-05-07,1929-05-21,46.82819986310746,48.12594113620808,29964
Robert Gascoyne-Cecil,1895-06-25,1902-07-11,Conservative,NA,Marquess of Salisbury,2572,1830-02-03,1903-08-22,65.38809034907598,72.42984257357973,26862
Arthur Balfour,1902-07-11,1905-12-05,Conservative,NA,Arthur Balfour,1243,1848-07-25,1930-03-19,53.95756331279945,57.360711841204655,29821
Henry Campbell-Bannerman,1905-12-05,1908-04-07,Liberal,NA,Henry Campbell-Bannerman,854,1836-09-07,1908-04-22,69.24024640657085,71.57837097878166,26159
Herbert Henry Asquith,1908-04-07,1916-12-05,Liberal,NA,Herbert Henry Asquith,3164,1852-09-12,1928-02-15,55.564681724846,64.22724161533196,27548
David Lloyd George,1916-12-06,1922-10-19,Liberal,NA,David Lloyd George,2143,1863-01-17,1945-03-26,53.883641341546884,59.75085557837098,30018
Bonar Law,1922-10-23,1923-05-20,Conservative,Scot.U.,Bonar Law,209,1858-09-16,1923-10-30,64.09856262833675,64.67077344284736,23784
Stanley Baldwin,1923-05-23,1924-01-16,Conservative,NA,Stanley Baldwin,238,1867-08-03,1947-12-14,55.800136892539356,56.4517453798768,29352
Ramsay MacDonald,1924-01-22,1924-11-04,Labour,NA,Ramsay MacDonald,287,1866-10-12,1937-11-09,57.275838466803556,58.06160164271047,25960
Stanley Baldwin,1924-11-04,1929-06-05,Conservative,NA,Stanley Baldwin,1674,1867-08-03,1947-12-14,57.2539356605065,61.83709787816564,29352
Ramsay MacDonald,1929-06-05,1935-06-07,Labour,NA,Ramsay MacDonald,2193,1866-10-12,1937-11-09,62.64476386036961,68.64887063655031,25960
Stanley Baldwin,1935-06-07,1937-05-28,Conservative,NA,Stanley Baldwin,721,1867-08-03,1947-12-14,67.84120465434634,69.81519507186859,29352
Neville Chamberlain,1937-05-28,1940-05-10,Conservative,NA,Neville Chamberlain,1078,1869-03-18,1940-11-09,68.19164955509925,71.14305270362765,26168
Winston Churchill,1940-05-10,1945-07-26,Conservative,NA,Winston Churchill,1903,1874-11-30,1965-01-24,65.44010951403149,70.65023956194388,32927
Clement Attlee,1945-07-26,1951-10-26,Labour,NA,Clement Attlee,2283,1883-01-03,1967-10-08,62.55715263518138,68.80766598220397,30958
Winston Churchill,1951-10-26,1955-04-06,Conservative,NA,Winston Churchill,1258,1874-11-30,1965-01-24,76.90075290896647,80.34496919917865,32927
Anthony Eden,1955-04-06,1957-01-10,Conservative,NA,Anthony Eden,645,1897-06-12,1977-01-14,57.81245722108145,59.578370978781656,29070
Harold Macmillan,1957-01-10,1963-10-19,Conservative,NA,Harold Macmillan,2473,1894-02-10,1986-12-29,62.913073237508556,69.68377823408625,33924
Alec Douglas-Home,1963-10-19,1964-10-16,Conservative,Scot.U.,Alec Douglas-Home,363,1903-07-02,1995-10-09,60.2984257357974,61.29226557152635,33702
Harold Wilson,1964-10-16,1970-06-19,Labour,NA,Harold Wilson,2072,1916-03-11,1995-05-24,48.59958932238193,54.27241615331965,28928
Edward Heath,1970-06-19,1974-03-04,Conservative,NA,Edward Heath,1354,1916-07-09,2005-07-17,53.94387405886379,57.65092402464066,32515
Harold Wilson,1974-03-04,1976-04-05,Labour,NA,Harold Wilson,763,1916-03-11,1995-05-24,57.97946611909651,60.068446269678304,28928
James Callaghan,1976-04-05,1979-05-04,Labour,NA,James Callaghan,1124,1912-03-27,2005-03-26,64.02464065708419,67.10198494182067,33967
Margaret Thatcher,1979-05-04,1990-11-28,Conservative,NA,Margaret Thatcher,4226,1925-10-13,2013-04-08,53.555099247091036,65.12525667351129,31954
John Major,1990-11-28,1997-05-02,Conservative,NA,John Major,2347,1943-03-29,NA,47.66872005475702,54.09445585215606,NA
Tony Blair,1997-05-02,2007-06-27,Labour,NA,Tony Blair,3708,1953-05-06,NA,43.98904859685147,54.1409993155373,NA
Gordon Brown,2007-06-27,2010-05-11,Labour,NA,Gordon Brown,1049,1951-02-20,NA,56.34770704996578,59.219712525667354,NA
David Cameron,2010-05-11,2016-07-13,Conservative,NA,David Cameron,2255,1966-10-09,NA,43.58658453114305,49.76043805612594,NA
Theresa May,2016-07-13,NA,Conservative,NA,Theresa May,NA,1956-10-01,NA,59.780971937029435,NA,NA
